transaction_id,date,product_category,product_name,units_sold,unit_price,total_revenue,region,payment_method
10001,2024-01-01,Nan,Iphone 14 Pro,2.0,999.99,1999.98,North America,Credit Card
10002,1970-01-01,Home Appliances,Dyson V11 Vacuum,1.0,89.99,89.99,Europe,Paypal
10003,2024-01-03,Clothing,Levi'S 501 Jeans,2.0,69.99,139.98,Asia,Debit Card
10004,1970-01-01,Nan,Nan,4.0,89.99,359.96,North America,Credit Card
10005,2024-01-05,Beauty Products,Neutrogena Skincare Set,1.0,89.99,89.99,Europe,Paypal
10006,2024-01-06,Nan,Wilson Evolution Basketball,2.0,29.99,59.98,Asia,Credit Card
10007,1970-01-01,Electronics,Nan,1.0,89.99,89.99,North America,Credit Card
10008,2024-01-08,Nan,Blueair Classic 480I,2.0,599.99,1199.98,Nan,Nan
10009,2024-01-09,Clothing,Nike Air Force 1,6.0,89.99,539.9399999999999,Asia,Debit Card
10010,1970-01-01,Books,Nan,2.0,89.99,179.98,North America,Nan
10011,2024-01-11,Nan,Chanel No. 5 Perfume,1.0,129.99,129.99,Europe,Paypal
10012,1970-01-01,Sports,Babolat Pure Drive Tennis Racket,2.0,89.99,179.98,Asia,Credit Card
10013,2024-01-13,Electronics,Nan,2.0,749.99,1499.98,Nan,Credit Card
10014,2024-01-14,Nan,Keurig K-Elite Coffee Maker,2.0,89.99,179.98,Europe,Nan
10015,2024-01-15,Clothing,North Face Down Jacket,2.0,249.99,499.98,Asia,Debit Card
10016,1970-01-01,Books,Nan,3.0,89.99,269.96999999999997,Nan,Nan
10017,2024-01-17,Beauty Products,Dyson Supersonic Hair Dryer,2.0,399.99,799.98,Europe,Paypal
10018,2024-01-18,Nan,Manduka Pro Yoga Mat,4.0,119.99,479.96,Asia,Credit Card
10019,1970-01-01,Electronics,Nan,2.0,89.99,179.98,North America,Nan
10020,2024-01-20,Home Appliances,Ninja Professional Blender,1.0,99.99,99.99,Europe,Paypal
10021,1970-01-01,Nan,Zara Summer Dress,3.0,59.99,179.97,Asia,Debit Card
10022,2024-01-22,Books,Gone Girl By Gillian Flynn,2.0,22.99,45.98,North America,Credit Card
10023,2024-01-23,Beauty Products,Olay Regenerist Face Cream,1.0,49.99,49.99,Europe,Paypal
10024,2024-01-24,Sports,Nan,3.0,29.99,89.97,Asia,Credit Card
10025,2024-01-25,Electronics,Bose Quietcomfort 35 Headphones,1.0,299.99,299.99,North America,Credit Card
10026,2024-01-26,Home Appliances,Panasonic Nn-Sn966S Microwave,1.0,179.99,179.99,Europe,Paypal
10027,2024-01-27,Clothing,Adidas Ultraboost Shoes,2.0,179.99,359.98,Asia,Debit Card
10028,2024-01-28,Books,Pride And Prejudice By Jane Austen,3.0,12.99,38.97,North America,Credit Card
10029,2024-01-29,Beauty Products,Mac Ruby Woo Lipstick,1.0,29.99,29.99,Europe,Paypal
10030,2024-01-30,Sports,Nike Air Zoom Pegasus 37,2.0,129.99,259.98,Asia,Credit Card
10031,2024-01-31,Nan,Sony Wh-1000Xm4 Headphones,2.0,349.99,699.98,North America,Credit Card
10032,2024-02-01,Home Appliances,Instant Pot Duo,3.0,89.99,269.96999999999997,Europe,Paypal
10033,2024-02-02,Clothing,Under Armour Heatgear T-Shirt,5.0,29.99,149.95,Asia,Debit Card
10034,2024-02-03,Books,1984 By George Orwell,4.0,19.99,79.96,North America,Credit Card
10035,2024-02-04,Beauty Products,L'Oreal Revitalift Serum,2.0,39.99,79.98,Europe,Paypal
10036,2024-02-05,Sports,Peloton Bike,1.0,1895.0,1895.0,Asia,Credit Card
10037,2024-02-06,Electronics,Apple Watch Series 8,3.0,399.99,1199.97,North America,Credit Card
10038,2024-02-07,Home Appliances,Roomba I7+,2.0,799.99,1599.98,Europe,Paypal
10039,2024-02-08,Clothing,Columbia Fleece Jacket,4.0,59.99,239.96,Asia,Debit Card
10040,2024-02-09,Books,Harry Potter And The Sorcerer'S Stone,3.0,24.99,74.97,North America,Credit Card
10041,2024-02-10,Beauty Products,Estee Lauder Advanced Night Repair,1.0,105.0,105.0,Europe,Paypal
10042,2024-02-11,Sports,Fitbit Charge 5,2.0,129.99,259.98,Asia,Credit Card
10043,2024-02-12,Electronics,Gopro Hero10 Black,3.0,399.99,1199.97,North America,Credit Card
10044,2024-02-13,Home Appliances,Nespresso Vertuoplus,1.0,199.99,199.99,Europe,Paypal
10045,2024-02-14,Clothing,Patagonia Better Sweater,2.0,139.99,279.98,Asia,Debit Card
10046,2024-02-15,Books,Becoming By Michelle Obama,4.0,32.5,130.0,North America,Credit Card
10047,2024-02-16,Beauty Products,Clinique Moisture Surge,1.0,52.0,52.0,Europe,Paypal
10048,2024-02-17,Sports,Yeti Rambler Tumbler,6.0,39.99,239.94,Asia,Credit Card
10049,2024-02-18,Electronics,Kindle Paperwhite,2.0,129.99,259.98,North America,Credit Card
10050,2024-02-19,Home Appliances,Breville Smart Oven,1.0,299.99,299.99,Europe,Paypal
10051,2024-02-20,Clothing,Ray-Ban Aviator Sunglasses,3.0,154.99,464.97,Asia,Debit Card
10052,2024-02-21,Books,The Silent Patient By Alex Michaelides,2.0,26.99,53.98,North America,Credit Card
10053,2024-02-22,Beauty Products,Shiseido Ultimate Sun Protector,1.0,49.0,49.0,Europe,Paypal
10054,2024-02-23,Sports,Titleist Pro V1 Golf Balls,5.0,49.99,249.95000000000002,Asia,Credit Card
10055,2024-02-24,Electronics,Anker Powercore Portable Charger,4.0,59.99,239.96,North America,Credit Card
10056,2024-02-25,Home Appliances,Kitchenaid Artisan Stand Mixer,1.0,499.99,499.99,Europe,Paypal
10057,2024-02-26,Clothing,Calvin Klein Boxer Briefs,5.0,29.99,149.95,Asia,Debit Card
10058,2024-02-27,Books,Educated By Tara Westover,3.0,28.0,84.0,North America,Credit Card
10059,2024-02-28,Beauty Products,Anastasia Beverly Hills Brow Wiz,2.0,23.0,46.0,Europe,Paypal
10060,2024-02-29,Sports,Hyperice Hypervolt Massager,1.0,349.0,349.0,Asia,Credit Card
10061,2024-03-01,Electronics,Nintendo Switch,3.0,299.99,899.97,North America,Credit Card
10062,2024-03-02,Home Appliances,Philips Airfryer Xxl,2.0,199.99,399.98,Europe,Paypal
10063,2024-03-03,Clothing,Hanes Comfortsoft T-Shirt,10.0,9.99,99.9,Asia,Debit Card
10064,2024-03-04,Books,Where The Crawdads Sing By Delia Owens,4.0,18.99,75.96,North America,Credit Card
10065,2024-03-05,Beauty Products,Lancome La Vie Est Belle,1.0,102.0,102.0,Europe,Paypal
10066,2024-03-06,Sports,Garmin Edge 530,2.0,299.99,599.98,Asia,Credit Card
10067,2024-03-07,Electronics,Samsung Qled 4K Tv,1.0,1199.99,1199.99,North America,Credit Card
10068,2024-03-08,Home Appliances,Eufy Robovac 11S,3.0,219.99,659.97,Europe,Paypal
10069,2024-03-09,Clothing,Puma Suede Classic Sneakers,4.0,59.99,239.96,Asia,Debit Card
10070,2024-03-10,Books,The Great Gatsby By F. Scott Fitzgerald,2.0,10.99,21.98,North America,Credit Card
10071,2024-03-11,Beauty Products,Drunk Elephant C-Firma Day Serum,1.0,78.0,78.0,Europe,Paypal
